"","COD_DISCIPLINA","ANO","SEMESTRE","NOME_DISCIPLINA","SIGLA","TOTAL_ALUNOS","Sem"
"60","DCOM1000",2021,"2. Semestre","GERÊNCIA DE REDES ""A""","Reprovado",4,"DCG"
"61","DCOM1000",2020,"2. Semestre","GERÊNCIA DE REDES ""A""","Reprovado",5,"DCG"
"62","DCOM1000",2018,"2. Semestre","GERÊNCIA DE REDES ""A""","Reprovado",1,"DCG"
"63","DCOM1000",2016,"2. Semestre","GERÊNCIA DE REDES ""A""","Aprovado",3,"DCG"
"64","DCOM1000",2021,"2. Semestre","GERÊNCIA DE REDES ""A""","Aprovado",8,"DCG"
"65","DCOM1000",2022,"2. Semestre","GERÊNCIA DE REDES ""A""","Repr.Freq",4,"DCG"
"66","DCOM1000",2017,"2. Semestre","GERÊNCIA DE REDES ""A""","Tr.Parcial",1,"DCG"
"67","DCOM1000",2022,"2. Semestre","GERÊNCIA DE REDES ""A""","Aprovado",6,"DCG"
"68","DCOM1000",2018,"2. Semestre","GERÊNCIA DE REDES ""A""","Aprovado",3,"DCG"
"69","DCOM1000",2016,"2. Semestre","GERÊNCIA DE REDES ""A""","Tr.Parcial",1,"DCG"
"70","DCOM1000",2017,"2. Semestre","GERÊNCIA DE REDES ""A""","Aprovado",5,"DCG"
"71","DCOM1000",2016,"2. Semestre","GERÊNCIA DE REDES ""A""","Repr.Freq",4,"DCG"
"72","DCOM1000",2015,"2. Semestre","GERÊNCIA DE REDES ""A""","Aprovado",2,"DCG"
"73","DCOM1000",2020,"2. Semestre","GERÊNCIA DE REDES ""A""","Aprovado",5,"DCG"
"74","DCOM1000",2017,"2. Semestre","GERÊNCIA DE REDES ""A""","Repr.Freq",4,"DCG"
"75","DCOM1001",2022,"2. Semestre","MARATONA DE PROGRAMAÇÃO","Aprovado",10,"DCG"
"76","DCOM3105",2017,"1. Semestre","PROCESSAMENTO DIGITAL DE IMAGENS","Tr.Parcial",1,"DCG"
"77","DCOM3105",2019,"1. Semestre","PROCESSAMENTO DIGITAL DE IMAGENS","Reprovado",4,"DCG"
"78","DCOM3105",2022,"1. Semestre","PROCESSAMENTO DIGITAL DE IMAGENS","Repr.Freq",2,"DCG"
"79","DCOM3105",2017,"1. Semestre","PROCESSAMENTO DIGITAL DE IMAGENS","Reprovado",2,"DCG"
"80","DCOM3105",2018,"1. Semestre","PROCESSAMENTO DIGITAL DE IMAGENS","Repr.Freq",1,"DCG"
"81","DCOM3105",2019,"1. Semestre","PROCESSAMENTO DIGITAL DE IMAGENS","Aprovado",1,"DCG"
"82","DCOM3105",2018,"1. Semestre","PROCESSAMENTO DIGITAL DE IMAGENS","Tr.Parcial",3,"DCG"
"83","DCOM3105",2018,"1. Semestre","PROCESSAMENTO DIGITAL DE IMAGENS","Aprovado",1,"DCG"
"84","DCOM3105",2021,"1. Semestre","PROCESSAMENTO DIGITAL DE IMAGENS","Reprovado",3,"DCG"
"85","DCOM3105",2017,"1. Semestre","PROCESSAMENTO DIGITAL DE IMAGENS","Aprovado",1,"DCG"
"86","DCOM3105",2020,"1. Semestre","PROCESSAMENTO DIGITAL DE IMAGENS","Aprovado",2,"DCG"
"87","DCOM3105",2022,"1. Semestre","PROCESSAMENTO DIGITAL DE IMAGENS","Tr.Parcial",4,"DCG"
"88","DCOM3105",2020,"1. Semestre","PROCESSAMENTO DIGITAL DE IMAGENS","Incompleto",5,"DCG"
"89","DCOM3105",2017,"1. Semestre","PROCESSAMENTO DIGITAL DE IMAGENS","Repr.Freq",4,"DCG"
"90","DCOM3105",2022,"1. Semestre","PROCESSAMENTO DIGITAL DE IMAGENS","Aprovado",1,"DCG"
"91","DCOM3105",2019,"1. Semestre","PROCESSAMENTO DIGITAL DE IMAGENS","Tr.Parcial",4,"DCG"
"92","DCOM3110",2022,"1. Semestre","DESENVOLVIMENTO DE SOFTWARE EDUCACIONAL","Repr.Freq",2,"Inativo"
"93","DCOM3110",2022,"1. Semestre","DESENVOLVIMENTO DE SOFTWARE EDUCACIONAL","Aprovado",1,"Inativo"
"94","DDI022",2020,"2. Semestre","COMPUTAÇÃO GRÁFICA II","Reprovado",2,"Inativo"
"95","DLSC808",2019,"2. Semestre","INTERNET DAS COISAS","Repr.Freq",2,"DCG"
"96","DLSC808",2019,"2. Semestre","INTERNET DAS COISAS","Aprovado",16,"DCG"
"97","DLSC808",2022,"1. Semestre","INTERNET DAS COISAS","Aprovado",8,"DCG"
"98","DLSC808",2022,"2. Semestre","INTERNET DAS COISAS","Aprovado",6,"DCG"
"99","DLSC808",2022,"2. Semestre","INTERNET DAS COISAS","Dispensado",1,"DCG"
"100","DLSC808",2020,"1. Semestre","INTERNET DAS COISAS","Aprovado",6,"DCG"
"101","DLSC808",2021,"2. Semestre","INTERNET DAS COISAS","Aprovado",3,"DCG"
"102","DLSC808",2022,"2. Semestre","INTERNET DAS COISAS","Repr.Freq",4,"DCG"
"103","DLSC808",2021,"1. Semestre","INTERNET DAS COISAS","Aprovado",5,"DCG"
"104","DLSC808",2021,"2. Semestre","INTERNET DAS COISAS","Reprovado",3,"DCG"
"105","DLSC808",2020,"1. Semestre","INTERNET DAS COISAS","Incompleto",3,"DCG"
"106","DLSC808",2021,"1. Semestre","INTERNET DAS COISAS","Reprovado",5,"DCG"
"107","DLSC811",2021,"1. Semestre","CRIPTOGRAFIA PARA SEGURANÇA DE DADOS","Reprovado",3,"DCG"
"108","DLSC811",2022,"1. Semestre","CRIPTOGRAFIA PARA SEGURANÇA DE DADOS","Aprovado",5,"DCG"
"109","DLSC811",2020,"1. Semestre","CRIPTOGRAFIA PARA SEGURANÇA DE DADOS","Incompleto",11,"DCG"
"110","DLSC811",2020,"1. Semestre","CRIPTOGRAFIA PARA SEGURANÇA DE DADOS","Aprovado",8,"DCG"
"111","DLSC811",2022,"1. Semestre","CRIPTOGRAFIA PARA SEGURANÇA DE DADOS","Reprovado",3,"DCG"
"112","DLSC811",2021,"1. Semestre","CRIPTOGRAFIA PARA SEGURANÇA DE DADOS","Aprovado",8,"DCG"
"113","DLSC812",2020,"1. Semestre","TÓPICOS ESPECIAIS EM LINGUAGENS FORMAIS","Incompleto",2,"DCG"
"114","DLSC812",2020,"1. Semestre","TÓPICOS ESPECIAIS EM LINGUAGENS FORMAIS","Aprovado",6,"DCG"
"115","DLSC812",2021,"1. Semestre","TÓPICOS ESPECIAIS EM LINGUAGENS FORMAIS","Reprovado",2,"DCG"
"116","DLSC812",2021,"1. Semestre","TÓPICOS ESPECIAIS EM LINGUAGENS FORMAIS","Aprovado",17,"DCG"
"117","DLSC812",2022,"1. Semestre","TÓPICOS ESPECIAIS EM LINGUAGENS FORMAIS","Reprovado",2,"DCG"
"118","DLSC812",2022,"1. Semestre","TÓPICOS ESPECIAIS EM LINGUAGENS FORMAIS","Aprovado",19,"DCG"
"119","DLSC813",2021,"1. Semestre","LABORATÓRIO DE ORIENTAÇÃO A OBJETOS","Reprovado",3,"DCG"
"120","DLSC813",2021,"1. Semestre","LABORATÓRIO DE ORIENTAÇÃO A OBJETOS","Tr.Parcial",1,"DCG"
"121","DLSC813",2020,"1. Semestre","LABORATÓRIO DE ORIENTAÇÃO A OBJETOS","Incompleto",10,"DCG"
"122","DLSC813",2020,"1. Semestre","LABORATÓRIO DE ORIENTAÇÃO A OBJETOS","Tr.Parcial",3,"DCG"
"123","DLSC813",2022,"1. Semestre","LABORATÓRIO DE ORIENTAÇÃO A OBJETOS","Reprovado",4,"DCG"
"124","DLSC813",2022,"1. Semestre","LABORATÓRIO DE ORIENTAÇÃO A OBJETOS","Aprovado",4,"DCG"
"125","DLSC815",2022,"2. Semestre","ENGENHARIA DE ONTOLOGIAS","Tr.Parcial",1,"DCG"
"126","DLSC815",2021,"2. Semestre","ENGENHARIA DE ONTOLOGIAS","Aprovado",4,"DCG"
"127","DLSC815",2022,"2. Semestre","ENGENHARIA DE ONTOLOGIAS","Aprovado",8,"DCG"
"128","DLSC815",2022,"2. Semestre","ENGENHARIA DE ONTOLOGIAS","Reprovado",1,"DCG"
"129","DLSC815",2020,"2. Semestre","ENGENHARIA DE ONTOLOGIAS","Aprovado",7,"DCG"
"130","DLSC815",2020,"2. Semestre","ENGENHARIA DE ONTOLOGIAS","Reprovado",1,"DCG"
"131","DPADI0208",2021,"2. Semestre","INTERNET DAS COISAS","Aprovado",1,"Inativo"
"132","DPADP0094",2022,"2. Semestre","INTELIGÊNCIA DE NEGÓCIOS:  aplicar tecnologias de inteligência de negócios para executar consultas analíticas na construção de soluções de negócios, usando e integrando recursos com vistas a tomada de decisão.","Reprovado",1,"Inativo"
"133","DPADP0122",2021,"2. Semestre","ALGORITMOS E LÓGICA DE PROGRAMAÇÃO","Aprovado",1,"Inativo"
"134","DPADP0125",2022,"2. Semestre","FUNDAMENTOS DA COMPUTAÇÃO","Reprovado",1,"Inativo"
"135","DPADP0128",2022,"2. Semestre","PROGRAMAÇÃO ORIENTADA A OBJETOS","Aprovado",1,"Inativo"
"136","DPADP0130",2022,"2. Semestre","BANCO DE DADOS I","Repr.Freq",1,"Inativo"
"137","DPADP0131",2022,"2. Semestre","PROGRAMAÇÃO WEB","Repr.Freq",1,"Inativo"
"138","DPADP0132",2022,"1. Semestre","SISTEMAS OPERACIONAIS ""A""","Repr.Freq",1,"Inativo"
"139","DPADP0133",2022,"1. Semestre","ENGENHARIA DE SOFTWARE I","Repr.Freq",1,"Inativo"
"140","DPADP0134",2022,"1. Semestre","WEB DESIGN","Aprovado",1,"Inativo"
"141","DPADP0136",2022,"1. Semestre","PROGRAMAÇÃO ORIENTADA A OBJETOS DA WEB I","Repr.Freq",1,"Inativo"
"142","DPADP0249",2021,"2. Semestre","GEOFÍSICA ESPACIAL APLICADA AO GEOPROCESSAMENTO","Reprovado",1,"Inativo"
"143","DPADP0251",2021,"2. Semestre","ALGORITMOS DE PROGRAMAÇÃO A","Reprovado",1,"Inativo"
"144","DPEE1062",2021,"2. Semestre","SISTEMAS INTELIGENTES","Reprovado",2,"DCG"
"145","DPEE1062",2021,"2. Semestre","SISTEMAS INTELIGENTES","Aprovado",1,"DCG"
"146","DPEE1062",2020,"2. Semestre","SISTEMAS INTELIGENTES","Aprovado",8,"DCG"
"147","DPEE1085",2021,"1. Semestre","DEEP LEARNING","Reprovado",1,"DCG"
"148","DPEE1085",2022,"1. Semestre","DEEP LEARNING","Repr.Freq",2,"DCG"
"149","DPEE1085",2018,"1. Semestre","DEEP LEARNING","Aprovado",2,"DCG"
"150","DPEE1085",2022,"1. Semestre","DEEP LEARNING","Aprovado",2,"DCG"
"151","DPEE1085",2018,"1. Semestre","DEEP LEARNING","Repr.Freq",1,"DCG"
"152","DPEE1085",2020,"2. Semestre","DEEP LEARNING","Aprovado",1,"DCG"
"153","DPEE1085",2021,"2. Semestre","DEEP LEARNING","Reprovado",2,"DCG"
"154","DPEE1085",2021,"2. Semestre","DEEP LEARNING","Aprovado",3,"DCG"
"155","DPEE1085",2022,"2. Semestre","DEEP LEARNING","Aprovado",3,"DCG"
"156","DPEE1085",2022,"2. Semestre","DEEP LEARNING","Repr.Freq",2,"DCG"
"157","DPEE1085",2021,"1. Semestre","DEEP LEARNING","Aprovado",4,"DCG"
"158","DPEE1085",2020,"1. Semestre","DEEP LEARNING","Aprovado",6,"DCG"
"159","DPEE1085",2022,"1. Semestre","DEEP LEARNING","Reprovado",1,"DCG"
"160","DPS1057",2022,"1. Semestre","ENGENHARIA ECONÔMICA ""A""","Aprovado",1,"Inativo"
"161","EDE1090",2014,"2. Semestre","LIBRAS","Repr.Freq",1,"Inativo"
"162","EDE1114",2019,"2. Semestre","LIBRAS I","Aprovado",1,"Inativo"
"163","EDE1114",2015,"2. Semestre","LIBRAS I","Reprovado",7,"Inativo"
"164","EDE1114",2018,"2. Semestre","LIBRAS I","Repr.Freq",1,"Inativo"
"165","EDE1114",2015,"2. Semestre","LIBRAS I","Repr.Freq",1,"Inativo"
"166","EDE1114",2015,"2. Semestre","LIBRAS I","Aprovado",31,"Inativo"
"167","EDE1114",2017,"2. Semestre","LIBRAS I","Aprovado",2,"Inativo"
"168","EDE1129",2022,"2. Semestre","LIBRAS I","Repr.Freq",1,"Inativo"
"169","EDE1130",2020,"1. Semestre","LIBRAS: LICENCIATURAS","Aprovado",2,"Inativo"
"170","EDE1130",2020,"2. Semestre","LIBRAS: LICENCIATURAS","Aprovado",1,"Inativo"
"171","ELC1001",2022,"1. Semestre","SISTEMAS DE COMPUTAÇÃO MÓVEL","Aprovado",10,"DCG"
"172","ELC1001",2015,"1. Semestre","SISTEMAS DE COMPUTAÇÃO MÓVEL","Reprovado",2,"DCG"
"173","ELC1001",2021,"1. Semestre","SISTEMAS DE COMPUTAÇÃO MÓVEL","Aprovado",18,"DCG"
"174","ELC1001",2018,"1. Semestre","SISTEMAS DE COMPUTAÇÃO MÓVEL","Reprovado",11,"DCG"
"175","ELC1001",2015,"1. Semestre","SISTEMAS DE COMPUTAÇÃO MÓVEL","Tr.Parcial",2,"DCG"
"176","ELC1001",2018,"1. Semestre","SISTEMAS DE COMPUTAÇÃO MÓVEL","Tr.Parcial",2,"DCG"
"177","ELC1001",2017,"1. Semestre","SISTEMAS DE COMPUTAÇÃO MÓVEL","Aprovado",3,"DCG"
"178","ELC1001",2018,"1. Semestre","SISTEMAS DE COMPUTAÇÃO MÓVEL","Repr.Freq",2,"DCG"
"179","ELC1001",2016,"1. Semestre","SISTEMAS DE COMPUTAÇÃO MÓVEL","Aprovado",7,"DCG"
"180","ELC1001",2021,"1. Semestre","SISTEMAS DE COMPUTAÇÃO MÓVEL","Reprovado",3,"DCG"
"181","ELC1001",2015,"1. Semestre","SISTEMAS DE COMPUTAÇÃO MÓVEL","Aprovado",14,"DCG"
"182","ELC1001",2018,"1. Semestre","SISTEMAS DE COMPUTAÇÃO MÓVEL","Aprovado",3,"DCG"
"183","ELC1001",2020,"1. Semestre","SISTEMAS DE COMPUTAÇÃO MÓVEL","Aprovado",16,"DCG"
"184","ELC1001",2022,"1. Semestre","SISTEMAS DE COMPUTAÇÃO MÓVEL","Tr.Parcial",1,"DCG"
"185","ELC1001",2015,"1. Semestre","SISTEMAS DE COMPUTAÇÃO MÓVEL","Repr.Freq",6,"DCG"
"186","ELC1001",2014,"1. Semestre","SISTEMAS DE COMPUTAÇÃO MÓVEL","Aprovado",14,"DCG"
