"","COD_DISCIPLINA","ANO","SEMESTRE","NOME_DISCIPLINA","SIGLA","TOTAL_ALUNOS","NOME_CURSO","Sem"
"46","CAD1044",2018,"1. Semestre","EMPREENDEDORISMO ""B""","Repr.Freq",3,"Ciência da Computação - Bacharelado","DCG"
"47","CAD1044",2018,"2. Semestre","EMPREENDEDORISMO ""B""","Aprovado",19,"Ciência da Computação - Bacharelado","DCG"
"48","CAD1044",2017,"1. Semestre","EMPREENDEDORISMO ""B""","Repr.Freq",1,"Ciência da Computação - Bacharelado","DCG"
"49","CAD1044",2015,"2. Semestre","EMPREENDEDORISMO ""B""","Aprovado",18,"Ciência da Computação - Bacharelado","DCG"
"50","CAD1044",2021,"1. Semestre","EMPREENDEDORISMO ""B""","Reprovado",7,"Ciência da Computação - Bacharelado","DCG"
"51","CAD1044",2023,"2. Semestre","EMPREENDEDORISMO ""B""","Aprovado",21,"Ciência da Computação - Bacharelado","DCG"
"52","CAD1044",2017,"2. Semestre","EMPREENDEDORISMO ""B""","Aprovado",18,"Ciência da Computação - Bacharelado","DCG"
"53","CAD1044",2020,"1. Semestre","EMPREENDEDORISMO ""B""","Aprovado",7,"Ciência da Computação - Bacharelado","DCG"
"54","CAD1092",2021,"2. Semestre","GESTÃO DE PESSOAS","Aprovado",1,"Ciência da Computação - Bacharelado","Inativo"
"55","CAD1124",2022,"2. Semestre","MARKETING DIGITAL","Aprovado",1,"Ciência da Computação - Bacharelado","Inativo"
"56","CIE1002",2023,"1. Semestre","TEORIA ECONÔMICA","Aprovado",1,"Ciência da Computação - Bacharelado","DCG"
"57","CIE1002",2021,"1. Semestre","TEORIA ECONÔMICA","Reprovado",1,"Ciência da Computação - Bacharelado","DCG"
"58","CIE1002",2022,"1. Semestre","TEORIA ECONÔMICA","Dispensado",1,"Ciência da Computação - Bacharelado","DCG"
"59","CLM1035",2022,"2. Semestre","TECNOLOGIAS DE INFORMAÇÃO E COMPUTAÇÃO APLICADA EM SAÚDE","Aprovado",1,"Ciência da Computação - Bacharelado","Inativo"
"60","CSEE4010",2021,"2. Semestre","CÁLCULO ""B""","Aprovado",1,"Ciência da Computação - Bacharelado","Inativo"
"61","DAU1069",2022,"1. Semestre","HISTÓRIA DA ARQUITETURA MODERNA","Repr.Freq",1,"Ciência da Computação - Bacharelado","Inativo"
"62","DCG2038",2022,"2. Semestre","TÓPICOS EM CIÊNCIAS SOCIAIS E HUMANAS","Dispensado",1,"Ciência da Computação - Bacharelado","DCG"
"63","DCG2252",2021,"1. Semestre","WEB DESIGN","Aprovado",1,"Ciência da Computação - Bacharelado","Inativo"
"64","DCOM1000",2016,"2. Semestre","GERÊNCIA DE REDES ""A""","Tr.Parcial",1,"Ciência da Computação - Bacharelado","DCG"
"65","DCOM1000",2018,"2. Semestre","GERÊNCIA DE REDES ""A""","Reprovado",1,"Ciência da Computação - Bacharelado","DCG"
"66","DCOM1000",2018,"2. Semestre","GERÊNCIA DE REDES ""A""","Repr.Freq",2,"Ciência da Computação - Bacharelado","DCG"
"67","DCOM1000",2021,"2. Semestre","GERÊNCIA DE REDES ""A""","Aprovado",8,"Ciência da Computação - Bacharelado","DCG"
"68","DCOM1000",2016,"2. Semestre","GERÊNCIA DE REDES ""A""","Aprovado",3,"Ciência da Computação - Bacharelado","DCG"
